policy,total_value,energy_j,useful_tasks,j_per_task,raw_bits,transmitted_bits,bw_saving,median_latency_min,p95_latency_min,oom_count,energy_violation_count,on_count,pre_count,down_count,drop_count,on_pct,pre_pct,down_pct,drop_pct,residual_energy_j,min_energy_j,energy_overrun_j,mean_decision_ms,lambda_energy_final,lambda_bandwidth_final,lambda_energy_mean,lambda_bandwidth_mean,dpp_energy_queue_final,dpp_bandwidth_queue_final,seed,horizon_h,task_count,allow_pre,contact_model,training_seed_count,training_q_states,ua_training_seed_count,ua_training_q_states,normalized_value
Deadline-Energy,3747.037656026518,58049.70900277334,260,223.26811154912824,141896346105.7374,105779966974.30736,25.452649150329123,15.415767963420148,71.4423141796664,0,0,65,0,195,0,25.0,0.0,75.0,0.0,91950.2909972267,91950.2909972267,0.0,0.01247230829903856,,,,,,,0,24,260,1,fixed-window,10,283,10,646,0.9651114118825784
Energy-WSRPT,3416.5729517209375,149979.35837264013,254,590.4699148529139,141896346105.7374,37373304106.81187,73.66154581671731,1.0218073941260324,736.9298172144859,0,0,156,17,87,0,60.0,6.538461538461538,33.46153846153846,0.0,20.641627360083703,20.641627360083703,0.0,0.01588077026938733,,,,,,,0,24,260,1,fixed-window,10,283,10,646,0.8799947713180619
ActiveInf-inspired,3403.2745696990687,149991.64198074644,254,590.5182755147498,141896346105.7374,40556110134.20161,71.41849579130088,1.1894509169151812,736.9298172144859,0,0,151,23,86,0,58.07692307692308,8.846153846153847,33.07692307692308,0.0,8.358019253337659,8.358019253337659,0.0,0.03981999974572458,,,,,,,0,24,260,1,fixed-window,10,283,10,646,0.876569553472109
LEO-DRL-inspired,3503.710098795605,149994.69378191998,254,590.53029048,141896346105.7374,44907788086.34669,68.3516952206207,1.1894509169151737,736.9298172144859,0,0,153,11,96,0,58.84615384615385,4.230769230769231,36.92307692307692,0.0,5.306218079991993,5.306218079991993,0.0,0.08456153837659468,,,,,,,0,24,260,1,fixed-window,10,283,10,646,0.9024383821810047
Hierarchical-RA-inspired,3412.7017576714625,149991.64198074644,254,590.5182755147498,141896346105.7374,41340366358.115746,70.8657992311444,1.1894509169151812,736.9298172144859,0,0,151,23,86,0,58.07692307692308,8.846153846153847,33.07692307692308,0.0,8.358019253337659,8.358019253337659,0.0,0.02206961440746314,,,,,,,0,24,260,1,fixed-window,10,283,10,646,0.8789976813772252
DRL-UA-inspired,3583.417814499353,149916.36029157328,254,590.2218909117058,141896346105.7374,43284213807.93165,69.49589260340967,1.1445659766542235,736.8176803410713,0,0,157,15,88,0,60.38461538461539,5.769230769230769,33.84615384615385,0.0,83.639708426666,83.639708426666,0.0,0.08100230793038812,,,,,,,0,24,260,1,fixed-window,10,283,10,646,0.9229684203344923
QoS-Multihop-projected,3531.0732273266312,149991.80827141335,254,590.5189302024147,141896346105.7374,40882198271.1451,71.18868850880715,1.1445659766542122,736.9298172144859,0,0,153,7,100,0,58.84615384615385,2.6923076923076925,38.46153846153846,0.0,8.191728586695632,8.191728586695632,0.0,0.02483769304280241,,,,,,,0,24,260,1,fixed-window,10,283,10,646,0.9094862076992856
DelayCost-adapted,3421.0878045251325,149987.9383161065,254,590.5036941578996,141896346105.7374,40269704035.73892,71.62033756265225,1.1894509169151812,736.9298172144859,0,0,152,19,89,0,58.46153846153846,7.3076923076923075,34.23076923076923,0.0,12.06168389334465,12.06168389334465,0.0,0.01906192348822235,,,,,,,0,24,260,1,fixed-window,10,283,10,646,0.8811576461979795
Heuristic-TVD,3882.4923318618953,149952.72988789337,255,588.0499211289936,141896346105.7374,42621549426.45103,69.96289855505471,1.0218073941260324,76.23202046570702,0,0,168,0,92,0,64.61538461538461,0.0,35.38461538461539,0.0,47.27011210666029,47.27011210666029,0.0,0.018875000219290648,,,,,,,0,24,260,1,fixed-window,10,283,10,646,1.0
Deadline-Energy,3857.038359997837,69168.98741205335,260,266.03456696943596,138183152908.2682,97623791629.69403,29.35188583046674,10.28411112853179,72.25500075728323,0,0,72,0,188,0,27.692307692307693,0.0,72.3076923076923,0.0,80831.01258794659,80831.01258794659,0.0,0.012842692824331326,,,,,,,1,24,260,1,fixed-window,10,283,10,646,0.9762447363577478
Energy-WSRPT,3545.68728302179,149958.24434954658,257,583.4951142005704,138183152908.2682,35534348773.2781,74.28460125174065,0.7956735252066817,111.78914483510077,0,0,161,22,77,0,61.92307692307692,8.461538461538462,29.615384615384617,0.0,41.75565045332473,41.75565045332473,0.0,0.01487576944502787,,,,,,,1,24,260,1,fixed-window,10,283,10,646,0.897439492103617
ActiveInf-inspired,3627.2632596596977,149984.4624849066,257,583.5971302914654,138183152908.2682,42908622373.47966,68.94800743042518,1.1121057625823898,111.78914483510077,0,0,161,2,97,0,61.92307692307692,0.7692307692307693,37.30769230769231,0.0,15.537515093307604,15.537515093307604,0.0,0.04198461638924737,,,,,,,1,24,260,1,fixed-window,10,283,10,646,0.9180869709132508
LEO-DRL-inspired,3639.5645003380596,149987.02060410654,257,583.6070840626713,138183152908.2682,39991118525.36186,71.05933850567901,1.1445659766542424,111.68455703195276,0,0,160,13,87,0,61.53846153846154,5.0,33.46153846153846,0.0,12.979395893288313,12.979395893288313,0.0,0.0763061543693766,,,,,,,1,24,260,1,fixed-window,10,283,10,646,0.9212005052735694
Hierarchical-RA-inspired,3627.2632596596977,149984.4624849066,257,583.5971302914654,138183152908.2682,42908622373.47966,68.94800743042518,1.1121057625823898,111.78914483510077,0,0,161,2,97,0,61.92307692307692,0.7692307692307693,37.30769230769231,0.0,15.537515093307604,15.537515093307604,0.0,0.020532692052746333,,,,,,,1,24,260,1,fixed-window,10,283,10,646,0.9180869709132508
DRL-UA-inspired,3699.7482287798125,149982.54415930656,257,583.5896659895197,138183152908.2682,44152392835.539055,68.04791907965128,1.1445659766542424,111.78914483510077,0,0,156,13,91,0,60.0,5.0,35.0,0.0,17.455840693336597,17.455840693336597,0.0,0.08587653865106404,,,,,,,1,24,260,1,fixed-window,10,283,10,646,0.936433448952584
QoS-Multihop-projected,3665.353253640215,149995.91119338645,257,583.641677795278,138183152908.2682,36813885478.927345,73.35862968522223,0.9838477977316871,111.68455703195276,0,0,162,16,82,0,62.30769230769231,6.153846153846154,31.53846153846154,0.0,4.088806613342257,4.088806613342257,0.0,0.024938462369251423,,,,,,,1,24,260,1,fixed-window,10,283,10,646,0.9277278281359927
DelayCost-adapted,3627.2632596596977,149984.4624849066,257,583.5971302914654,138183152908.2682,42908622373.47966,68.94800743042518,1.1121057625823898,111.78914483510077,0,0,161,2,97,0,61.92307692307692,0.7692307692307693,37.30769230769231,0.0,15.537515093307604,15.537515093307604,0.0,0.020189230697444424,,,,,,,1,24,260,1,fixed-window,10,283,10,646,0.9180869709132508
Heuristic-TVD,3950.892861546158,149571.7581421866,258,579.7354966751418,138183152908.2682,39288217251.275154,71.56801214591164,0.9832486245364028,79.30292719235098,0,0,169,0,91,0,65.0,0.0,35.0,0.0,428.24185781330334,428.24185781330334,0.0,0.018249615319431402,,,,,,,1,24,260,1,fixed-window,10,283,10,646,1.0
Deadline-Energy,3772.396708012707,71163.84858981332,260,273.70710996082045,143551818802.25815,100349432288.78314,30.09532507072311,12.860969370166428,71.43436513271442,0,0,71,1,188,0,27.307692307692307,0.38461538461538464,72.3076923076923,0.0,78836.15141018668,78836.15141018668,0.0,0.013887693841332713,,,,,,,2,24,260,1,fixed-window,10,283,10,646,0.9842870551834726
Energy-WSRPT,3321.5130395923347,149908.74235413317,253,592.5246733364947,143551818802.25815,37769024481.34253,73.68962316432288,0.721079132218559,754.0107986472566,0,0,156,26,78,0,60.0,10.0,30.0,0.0,91.25764586669428,91.25764586669428,0.0,0.01687923146304316,,,,,,,2,24,260,1,fixed-window,10,283,10,646,0.866643288482806
ActiveInf-inspired,3459.2130609632045,149995.79092005303,253,592.8687388144389,143551818802.25815,38912596455.76406,72.8929965635852,1.0218073941260324,754.0107986472566,0,0,158,21,81,0,60.76923076923077,8.076923076923077,31.153846153846153,0.0,4.209079946691958,4.209079946691958,0.0,0.03968615257270777,,,,,,,2,24,260,1,fixed-window,10,283,10,646,0.9025717337192125
LEO-DRL-inspired,3646.8164128490866,149993.22218261322,253,592.8585857020286,143551818802.25815,39808715397.207436,72.26874885365004,0.9832486245364028,754.0107986472566,0,0,167,10,83,0,64.23076923076923,3.8461538461538463,31.923076923076923,0.0,6.7778173866385885,6.7778173866385885,0.0,0.07930423095016383,,,,,,,2,24,260,1,fixed-window,10,283,10,646,0.9515208674034003
Hierarchical-RA-inspired,3475.0255672463895,149995.79092005303,253,592.8687388144389,143551818802.25815,40853470229.318016,71.5409595153974,1.0218073941260324,754.0107986472566,0,0,158,21,81,0,60.76923076923077,8.076923076923077,31.153846153846153,0.0,4.209079946691958,4.209079946691958,0.0,0.021770384829813756,,,,,,,2,24,260,1,fixed-window,10,283,10,646,0.906697504800363
DRL-UA-inspired,3578.716874180187,149982.64261455985,253,592.8167692275093,143551818802.25815,41865795799.09932,70.83576080859747,0.9832486245364028,754.0107986472566,0,0,156,15,89,0,60.0,5.769230769230769,34.23076923076923,0.0,17.35738544001225,17.35738544001225,0.0,0.07868269268118848,,,,,,,2,24,260,1,fixed-window,10,283,10,646,0.9337524566120878
QoS-Multihop-projected,3526.4993820458176,149989.3524578664,253,592.843290347298,143551818802.25815,42227056327.99161,70.58410218670991,0.8620960381941283,754.0107986472566,0,0,157,15,88,0,60.38461538461539,5.769230769230769,33.84615384615385,0.0,10.64754213334703,10.64754213334703,0.0,0.02156846055116218,,,,,,,2,24,260,1,fixed-window,10,283,10,646,0.9201279612209123
DelayCost-adapted,3474.4965560051446,149995.79092005303,253,592.8687388144389,143551818802.25815,40376649237.63278,71.87311900711519,1.0218073941260324,754.0107986472566,0,0,158,21,81,0,60.76923076923077,8.076923076923077,31.153846153846153,0.0,4.209079946691958,4.209079946691958,0.0,0.019636922493541185,,,,,,,2,24,260,1,fixed-window,10,283,10,646,0.9065594761259933
Heuristic-TVD,3832.618429904604,149875.4171290666,254,590.0606973585299,143551818802.25815,42153956555.43225,70.63502440641376,0.7668729075820011,111.32618025258745,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,124.58287093335002,124.58287093335002,0.0,0.021433079046591256,,,,,,,2,24,260,1,fixed-window,10,283,10,646,1.0
Deadline-Energy,3844.9481927810575,71697.5270752,260,275.75971952000003,145714942829.99643,109056964346.36604,25.157322764350077,15.42668608128982,77.05464053457004,0,0,73,0,187,0,28.076923076923077,0.0,71.92307692307692,0.0,78302.47292479995,78302.47292479995,0.0,0.01283230757018408,,,,,,,3,24,260,1,fixed-window,10,283,10,646,0.9646914194077069
Energy-WSRPT,3623.277603213673,149949.53697776,255,588.0373999127843,145714942829.99643,39833274930.7004,72.66356204993106,0.9823328932730268,77.65385075632592,0,0,159,19,82,0,61.15384615384615,7.3076923076923075,31.53846153846154,0.0,50.463022240007376,50.463022240007376,0.0,0.01594846208508198,,,,,,,3,24,260,1,fixed-window,10,283,10,646,0.909074619136588
ActiveInf-inspired,3655.0081218540313,149997.6763199998,255,588.2261816470581,145714942829.99643,47615867559.41237,67.32259119439443,1.1445659766542424,78.84356683183506,0,0,158,18,84,0,60.76923076923077,6.923076923076923,32.30769230769231,0.0,2.3236800000176743,2.3236800000176743,0.0,0.041614230520700894,,,,,,,3,24,260,1,fixed-window,10,283,10,646,0.9170357560702874
LEO-DRL-inspired,3733.1482211297866,149984.66605386665,255,588.1751609955555,145714942829.99643,53594204678.18169,63.219829320655684,1.079645548510598,76.9653606780634,0,0,159,0,101,0,61.15384615384615,0.0,38.84615384615385,0.0,15.333946133347808,15.333946133347808,0.0,0.07400653826502654,,,,,,,3,24,260,1,fixed-window,10,283,10,646,0.9366409833720535
Hierarchical-RA-inspired,3669.3561446149515,149997.6763199998,255,588.2261816470581,145714942829.99643,48508121484.88963,66.71026283043369,1.1445659766542424,78.84356683183506,0,0,158,18,84,0,60.76923076923077,6.923076923076923,32.30769230769231,0.0,2.3236800000176743,2.3236800000176743,0.0,0.020320767921825442,,,,,,,3,24,260,1,fixed-window,10,283,10,646,0.9206356522844714
DRL-UA-inspired,3736.519810828711,149984.77204069323,255,588.1755766301695,145714942829.99643,46195163078.01941,68.29758006911162,1.0218073941260324,73.13191143162409,0,0,161,7,92,0,61.92307692307692,2.6923076923076925,35.38461538461539,0.0,15.227959306704975,15.227959306704975,0.0,0.08159461587918206,,,,,,,3,24,260,1,fixed-window,10,283,10,646,0.9374869098941384
QoS-Multihop-projected,3770.8888685980914,149987.62795141325,255,588.186776280052,145714942829.99643,46363099216.86104,68.18233029748211,0.9832486245364028,77.65385075632592,0,0,160,3,97,0,61.53846153846154,1.1538461538461537,37.30769230769231,0.0,12.372048586704722,12.372048586704722,0.0,0.020527306948609363,,,,,,,3,24,260,1,fixed-window,10,283,10,646,0.9461100521215159
DelayCost-adapted,3665.832347319287,149997.6763199998,255,588.2261816470581,145714942829.99643,48278171161.722725,66.86807116408906,1.1445659766542424,78.84356683183506,0,0,158,18,84,0,60.76923076923077,6.923076923076923,32.30769230769231,0.0,2.3236800000176743,2.3236800000176743,0.0,0.018193463396388464,,,,,,,3,24,260,1,fixed-window,10,283,10,646,0.9197515371171352
Heuristic-TVD,3985.6767826770415,149921.3306329599,257,583.3514810621008,145714942829.99643,48351527943.053314,66.81772850196677,1.0025280093312177,67.95993451600984,0,0,165,0,95,0,63.46153846153846,0.0,36.53846153846154,0.0,78.66936704002819,78.66936704002819,0.0,0.018447307901134573,,,,,,,3,24,260,1,fixed-window,10,283,10,646,1.0
Deadline-Energy,3856.879439805607,72710.54138586667,260,279.6559284071795,143751290598.0329,96634432667.29465,32.77665037630138,11.325929860212394,73.14807775617477,0,0,79,1,180,0,30.384615384615383,0.38461538461538464,69.23076923076923,0.0,77289.45861413333,77289.45861413333,0.0,0.012970383977517486,,,,,,,4,24,260,1,fixed-window,10,283,10,646,0.976602024845582
Energy-WSRPT,3385.3319243306705,149904.75896778662,259,578.7828531574773,143751290598.0329,45158969510.27501,68.5853467315632,1.1445659766542424,726.9090733329451,0,0,153,12,95,0,58.84615384615385,4.615384615384615,36.53846153846154,0.0,95.24103221335204,95.24103221335204,0.0,0.017127306245339032,,,,,,,4,24,260,1,fixed-window,10,283,10,646,0.8572012850477788
ActiveInf-inspired,3432.171178530017,149991.08140047977,259,579.1161444033968,143751290598.0329,41365535728.2497,71.22423349650556,1.2567783273066198,726.9090733329451,0,0,153,19,88,0,58.84615384615385,7.3076923076923075,33.84615384615385,0.0,8.918599520041823,8.918599520041823,0.0,0.03803077001626102,,,,,,,4,24,260,1,fixed-window,10,283,10,646,0.8690614718146341
LEO-DRL-inspired,3566.4128963889366,149995.8063173332,259,579.1343873256108,143751290598.0329,43634693902.01404,69.64570285213763,1.1445659766542424,726.9090733329451,0,0,158,6,96,0,60.76923076923077,2.3076923076923075,36.92307692307692,0.0,4.1936826666996865,4.1936826666996865,0.0,0.07900807708770466,,,,,,,4,24,260,1,fixed-window,10,283,10,646,0.9030528722526986
Hierarchical-RA-inspired,3443.2850825888327,149991.08140047977,259,579.1161444033968,143751290598.0329,41152901897.25183,71.37215135526931,1.2567783273066198,726.9090733329451,0,0,153,19,88,0,58.84615384615385,7.3076923076923075,33.84615384615385,0.0,8.918599520041823,8.918599520041823,0.0,0.021410384215414524,,,,,,,4,24,260,1,fixed-window,10,283,10,646,0.8718756280197153
DRL-UA-inspired,3613.2348482743173,149999.96227162663,259,579.1504334811839,143751290598.0329,46666961009.208565,67.53631858533926,1.1894509169151812,726.9090733329451,0,0,154,3,103,0,59.23076923076923,1.1538461538461537,39.61538461538461,0.0,0.037728373352592826,0.037728373352592826,0.0,0.07776884527769513,,,,,,,4,24,260,1,fixed-window,10,283,10,646,0.914908677893538
QoS-Multihop-projected,3548.7851372763344,149994.06546778648,259,579.1276658987895,143751290598.0329,40079085692.06268,72.11914722620854,1.1445659766542424,726.9090733329451,0,0,153,17,90,0,58.84615384615385,6.538461538461538,34.61538461538461,0.0,5.934532213350934,5.934532213350934,0.0,0.02277807708686361,,,,,,,4,24,260,1,fixed-window,10,283,10,646,0.8985893401378018
DelayCost-adapted,3439.377998638404,149991.08140047977,259,579.1161444033968,143751290598.0329,41223433744.15981,71.32308616314856,1.2567783273066198,726.9090733329451,0,0,153,19,88,0,58.84615384615385,7.3076923076923075,33.84615384615385,0.0,8.918599520041823,8.918599520041823,0.0,0.01910500029155698,,,,,,,4,24,260,1,fixed-window,10,283,10,646,0.8708863136901435
Heuristic-TVD,3949.284705215973,149888.1055233066,259,578.718554144041,143751290598.0329,39489818184.92574,72.52906876825902,1.0777419947470057,722.8285196627825,0,0,167,0,93,0,64.23076923076923,0.0,35.76923076923077,0.0,111.89447669336346,111.89447669336346,0.0,0.016601923002431598,,,,,,,4,24,260,1,fixed-window,10,283,10,646,1.0
Deadline-Energy,3736.392823105972,55724.94501317332,260,214.32671158912814,145966253614.7567,115042162606.88376,21.185781125471483,16.026909080403055,71.36271956499577,0,0,59,1,200,0,22.692307692307693,0.38461538461538464,76.92307692307692,0.0,94275.05498682667,94275.05498682667,0.0,0.012105384890813954,,,,,,,5,24,260,1,fixed-window,10,283,10,646,0.948997807285672
Energy-WSRPT,3471.765746386301,149994.31164517338,259,579.1286163906308,145966253614.7567,45220625639.267715,69.01980799026546,0.9832486245364028,70.00163995268541,0,0,157,15,88,0,60.38461538461539,5.769230769230769,33.84615384615385,0.0,5.6883548266966955,5.6883548266966955,0.0,0.015199999324977398,,,,,,,5,24,260,1,fixed-window,10,283,10,646,0.881785785572541
ActiveInf-inspired,3453.901779657783,149999.74459221333,259,579.1495930201287,145966253614.7567,51324744009.61919,64.83793840110559,1.1894509169151757,70.00163995268541,0,0,153,4,103,0,58.84615384615385,1.5384615384615385,39.61538461538461,0.0,0.2554077866757609,0.2554077866757609,0.0,0.04214346308099966,,,,,,,5,24,260,1,fixed-window,10,283,10,646,0.8772485578083855
LEO-DRL-inspired,3518.509299457035,149985.75886922653,259,579.0955940896777,145966253614.7567,44664308649.79151,69.40093511773458,1.079645548510598,70.0118414173031,0,0,157,20,83,0,60.38461538461539,7.6923076923076925,31.923076923076923,0.0,14.24113077332521,14.24113077332521,0.0,0.07729115313850343,,,,,,,5,24,260,1,fixed-window,10,283,10,646,0.8936580729547849
Hierarchical-RA-inspired,3453.901779657783,149999.74459221333,259,579.1495930201287,145966253614.7567,51324744009.61919,64.83793840110559,1.1894509169151757,70.00163995268541,0,0,153,4,103,0,58.84615384615385,1.5384615384615385,39.61538461538461,0.0,0.2554077866757609,0.2554077866757609,0.0,0.020911153226804275,,,,,,,5,24,260,1,fixed-window,10,283,10,646,0.8772485578083855
DRL-UA-inspired,3664.5981965186425,149944.6662003733,259,578.9369351365764,145966253614.7567,52351743987.842995,64.13435113158896,1.0796455485105678,66.97653440604378,0,0,156,11,93,0,60.0,4.230769230769231,35.76923076923077,0.0,55.33379962667206,55.33379962667206,0.0,0.08326499899759746,,,,,,,5,24,260,1,fixed-window,10,283,10,646,0.9307628554398881
QoS-Multihop-projected,3614.7616796727584,149987.46241941323,259,579.102171503526,145966253614.7567,46021324271.92404,68.4712574775082,1.0218073941260324,69.69639254002793,0,0,157,12,91,0,60.38461538461539,4.615384615384615,35.0,0.0,12.537580586699391,12.537580586699391,0.0,0.024742691759736493,,,,,,,5,24,260,1,fixed-window,10,283,10,646,0.9181049933122695
DelayCost-adapted,3478.5083355069914,149993.52160447996,259,579.1255660404631,145966253614.7567,49377331657.46484,66.17209085342111,1.1445659766542424,69.64216079747794,0,0,154,8,98,0,59.23076923076923,3.076923076923077,37.69230769230769,0.0,6.478395520006643,6.478395520006643,0.0,0.01832038486519685,,,,,,,5,24,260,1,fixed-window,10,283,10,646,0.8834983202534219
